Date,Bike,Car,Lorry,speed_00,speed_10,speed_20,speed_30,speed_40,speed_50,speed_60
2020-06-19 10:00:00+00,60,750,0,252,306,148,27,6,6,6
2020-06-19 11:00:00+00,50,757,0,158,254,253,59,15,3,10
2020-06-19 12:00:00+00,50,719,0,220,186,250,47,9,4,
2020-06-19 13:00:00+00,84,602,0,323,156,92,18,13,,
2020-06-19 14:00:00+00,153,657,0,291,255,93,12,3,,2
2020-06-19 15:00:00+00,126,749,0,297,301,125,16,2,,4
2020-06-19 16:00:00+00,148,697,0,217,235,191,35,11,2,3
2020-06-19 17:00:00+00,92,639,0,145,240,212,37,3,,2
2020-06-19 18:00:00+00,63,451,0,50,106,228,56,6,,4
2020-06-19 19:00:00+00,20,312,0,31,116,120,31,,,4
2020-06-20 03:00:00+00,15,77,0,,24,16,31,,,
2020-06-20 04:00:00+00,17,137,0,16,47,39,28,10,2,
2020-06-20 05:00:00+00,33,291,0,31,75,114,54,10,4,2
2020-06-20 06:00:00+00,61,477,0,65,112,204,78,13,3,2
2020-06-20 07:00:00+00,100,597,0,98,167,240,76,13,2,
2020-06-20 08:00:00+00,73,651,0,288,117,169,40,17,12,
2020-06-20 09:00:00+00,88,757,0,234,297,161,28,15,2,15
2020-06-20 10:00:00+00,73,739,0,261,268,156,30,15,2,2
2020-06-20 11:00:00+00,46,732,0,94,247,286,94,7,2,2
2020-06-20 12:00:00+00,43,615,0,172,133,224,49,16,,8
